date,value
2017-01-23,1038.04
2017-01-24,1040.03
2017-01-25,1045.87
2017-01-26,1046.77
2017-01-27,1045.6
2017-01-30,1041.41
2017-01-31,1038.04
2017-02-01,1038.5
2017-02-02,1036.68
2017-02-03,1040.22
2017-02-06,1042.27
2017-02-07,1047.09
2017-02-08,1045.83
2017-02-09,1051.42
2017-02-10,1056.6
2017-02-13,1059.27
2017-02-14,1059.55
2017-02-15,1062
2017-02-16,1059.75
2017-02-17,1061.39
2017-02-20,1062.87
2017-02-21,1070.84
2017-02-22,1073.55
2017-02-23,1072.54
2017-02-24,1069.49
2017-02-27,1069.84
2017-02-28,1066.72
2017-03-01,1073.37
2017-03-02,1073.41
2017-03-03,1070.33
2017-03-06,1067.03
2017-03-07,1064.57
2017-03-08,1062.17
2017-03-09,1058.44
2017-03-10,1057.41
2017-03-13,1058.8
2017-03-14,1059.84
2017-03-15,1063.6
2017-03-16,1063.9
2017-03-17,1062.77
2017-03-20,1061.38
2017-03-21,1055.45
2017-03-22,1053.93
2017-03-23,1057.92
2017-03-24,1056.61
2017-03-27,1051.48
2017-03-28,1056.44
2017-03-29,1061.13
2017-03-30,1063.24
2017-03-31,1063.47
2017-04-03,1065.75
2017-04-04,1065.9
2017-04-05,1067.74
2017-04-06,1069.35
2017-04-07,1072.23
2017-04-10,1073.57
2017-04-11,1072.12
2017-04-12,1071.66
2017-04-13,1069.8
2017-04-18,1067.5
2017-04-19,1065.2
2017-04-20,1065.87
2017-04-21,1067.45
2017-04-24,1070.46
2017-04-25,1069.37
2017-04-26,1070.85
2017-04-27,1070.46
2017-04-28,1068.47
2017-05-02,1069.95
2017-05-03,1068.07
2017-05-04,1067.77
2017-05-05,1069.43
2017-05-08,1072.28
2017-05-09,1075.21
2017-05-10,1077.42
2017-05-11,1077.26
2017-05-12,1076.81
2017-05-15,1078.53
2017-05-16,1073.35
2017-05-17,1064.92
2017-05-18,1063.03
2017-05-19,1065.28
2017-05-22,1066.44
2017-05-23,1067.61
2017-05-24,1072.77
2017-05-26,1072.58
2017-05-29,1072.2
2017-05-30,1072.24
2017-05-31,1070.01
2017-06-01,1073.88
2017-06-02,1076.43
2017-06-06,1073.41
2017-06-07,1073.4
2017-06-08,1075.22
2017-06-09,1077
2017-06-12,1073.7
2017-06-13,1077.59
2017-06-14,1074.91
2017-06-15,1073.55
2017-06-16,1074.42
2017-06-19,1077.96
2017-06-20,1075.32
2017-06-21,1074.08
2017-06-22,1074.12
2017-06-26,1074.74
2017-06-27,1069.81
2017-06-28,1067.16
2017-06-29,1056.06
2017-06-30,1056.18
2017-07-03,1058.32
2017-07-04,1058.95
2017-07-05,1061.93
2017-07-06,1054.69
2017-07-07,1056.43
2017-07-10,1058.74
2017-07-11,1057.75
2017-07-12,1064.64
2017-07-13,1067.36
2017-07-14,1068.62
2017-07-17,1069.68
2017-07-18,1065.64
2017-07-19,1070.54
2017-07-20,1069.68
2017-07-21,1066.21
2017-07-24,1065.82
2017-07-25,1065.69
2017-07-26,1067.92
2017-07-27,1067.77
2017-07-28,1063.56
2017-07-31,1062.54
2017-08-01,1064.58
2017-08-02,1061.82
2017-08-03,1062.01
2017-08-04,1066.41
2017-08-07,1065.86
2017-08-08,1069.14
2017-08-09,1064.94
2017-08-10,1058.12
2017-08-11,1054.05
2017-08-14,1059.56
2017-08-16,1061.69
2017-08-17,1057.75
2017-08-18,1055.33
2017-08-21,1054.02
2017-08-22,1059.01
2017-08-23,1057.44
2017-08-24,1059.32
2017-08-25,1057.7
2017-08-28,1054.96
2017-08-29,1049.29
2017-08-30,1054.46
2017-08-31,1057
2017-09-01,1059.77
